english,hindi_original,hindi_simplified
central board of direct taxes income tax direct taxes issues with it returns tds mismatch tanpan financial yearassessment year regional office office dgitsystems cpc e filing my sister in law having pan in the name of sujal gunvantbhai shah had filed his return of income and claimed refund of tds deducted rs from his commission income while processing of itr only tds credit of rs given and issued a refund order both tds are already shown on as but still not cerdit given by the cpc you are requested to please give credit of the balance of rs and issue refund of balance amount including interest till date copy of form as enclosed herewith for your reference please look into the matter and release refund amount asap,"केंद्रीय प्रत्यक्ष कर बोर्ड अपने साथ प्रत्यक्ष कर के मुद्दों का मिलान नहीं करता है वित्तीय वर्ष आकलन वर्ष क्षेत्रीय कार्यालय कार्यालय डी. जी. टी. एस. सिस्टम सी. पी. सी. ई. फाइलिंग माई सिस्टर इन लॉ जिनके पासुजल गुणवंतभाई शाह के नाम पर पैन है, ने अपनी आय की विवरणी दाखिल की थी और अपनी कमीशन आय से काटे गए टी. डी. एस. की वापसी का दावा किया था, जबकि इसे संसाधित करते समय केवल टी. डी. एस. क्रेडिट दिया गया था और धनवापसी आदेश जारी किया गया था, दोनों टी. डी. एस. पहले से ही दिखाए गए हैं लेकिन अभी भी सी. पी. सी. द्वारा नहीं दिए गए हैं, आपसे अनुरोध किया जाता है कि कृपया आर. एस. की शेष राशि का क्रेडिट दें और आपके संदर्भ के लिए संलग्न फॉर्म की तारीख तक की ब्याज सहित शेष राशि की वापसी जारी करें और धनवापसी जारी करें","यह मेरी साली गुणवंतभाई शाह की आय की विवरणी है, जिनका पैन नंबर है। उन्होंने अपनी आय की विवरणी दाखिल की थी और अपनी कमीशन आय से कटौती किए गए टी.डी.एस. की वापसी का दावा किया था। लेकिन जब इसे संसाधित किया गया तो केवल टी.डी.एस. क्रेडिट दिया गया था और धनवापसी का आदेश जारी किया गया था। दोनों टी.डी.एस. पहले से ही द"
central board of direct taxes income tax othermiscsuggestions regional office office region mumbai sir with due respect to the reply given by the prdirector general of income tax new delhi vide cpgrams appeal no cbodtea dated wherein it is informed that on perusal of the details of the petitioner candidate it is seen that the candidate has participated in physical efficiency drive events in discipline of yogasana for all the four years and furnished form for the awardees in national physical efficiency drive performances conducted by ministry of education and social welfare please note that as per the recommendations of honorable prima minister shri narendra modi ji yoga is a way of life to remain physically fit and mentally calm at the workplace and on his recommendations ministry of ayurveda and yogasana known as ministry of ayush was specially formed for promotion of yoga in all workplaces in india also national heads of nations at united nations came together and accredited participation in yoga as a true way of life hence participation in yogasana under category at sr noe read with note of the said om is considered as meritorious sportsperson not considering participation in yogasana as a meritorious sportsperson is gross insult to yoga as a way of life by ministry of ayush hence the candidate wait listed as meritorious sportsperson under category e of the said om is fairly extended an opportunity to prove the credentials of a meritorious stenographer as prescribed in the advertisement leaving out the meritorious sportsperson participating in yogasana under category e is gross injustice to the department as well as denial of fair opportunity to the candidate and to the nation as well the fact remains that as on date the petitioner never filed any rti the candidate having stenography skills should be considered for unfilled vacancies including vacancies for stenographers in terms of sr no e of para read with note of the om no esttd dated,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर अन्य गलत सुझाव क्षेत्रीय कार्यालय क्षेत्र मुंबई सर आयकर नई दिल्ली के प्रधान महानिदेशक द्वारा दिए गए जवाब के सम्मान में सी. पी. जी. आर. एम. द्वारा अपील नहीं की गई है जिसमें यह सूचित किया गया है कि याचिकाकर्ता उम्मीदवार के विवरण के अवलोकन पर यह देखा गया है कि उम्मीदवार ने सभी चार वर्षों के लिए योग के अनुशासन में शारीरिक दक्षता अभियान कार्यक्रमों में भाग लिया है और शिक्षा और समाज कल्याण मंत्रालय द्वारा आयोजित राष्ट्रीय शारीरिक दक्षता अभियान प्रदर्शनों में पुरस्कार विजेताओं के लिए सुसज्जित रूप में प्रस्तुत किया गया है, कृपया ध्यान दें कि माननीय प्रथम मंत्री श्री नरेंद्र मोदी जी की सिफारिशों के अनुसार कार्यस्थल पर शारीरिक रूप से स्वस्थ और मानसिक रूप से शांत रहने के लिए योग एक जीवन शैली है और उनकी सिफारिशों पर मंत्रालय आयुष मंत्रालय द्वारा जीवन शैली के रूप में योग, इसलिए उक्त ओम की श्रेणी ई के तहत मेधावी खिलाड़ी के रूप में सूचीबद्ध प्रतीक्षा उम्मीदवार को विज्ञापन में निर्धारित एक मेधावी आशुलिपिकी साख साबित करने का अवसर दिया जाता है, जिसमें श्रेणी ई के तहत योगासन में भाग लेने वाले मेधावी खिलाड़ी को छोड़ दिया जाता है, जो विभाग के साथ घोर अन्याय है और साथ ही उम्मीदवार और राष्ट्र के लिए उचित अवसर से इनकार है","यह देखा गया है कि उम्मीदवार ने पिछले चार सालों में योग के अभ्यास में शारीरिक फिटनेस अभियान कार्यक्रमों में हिस्सा लिया है और शिक्षा और समाज कल्याण मंत्रालय द्वारा आयोजित राष्ट्रीय शारीरिक फिटनेस अभियान प्रदर्शनों में पुरस्कार विजेता रहा है। प्रधानमंत्री नरेंद्र मोदी जी की सलाह के अनुसार, योग एक ज"
central board of direct taxes income tax pan issues other name santosh mandal acknowledgement no not provided regional office office region delhi dear income tax officer i am writing to urgently request a refund of which i mistakenly paid on th january under the miscellaneous receipts payment category application fee us ma form no bc instead of linking my aadhaar card with my pan card applicant name santosh mandal pan card number aadhaar number date of payment th january on the above date i made a payment of believing it was the required fee for linking my aadhaar with my pan however i inadvertently selected the wrong payment category resulting in the payment being processed incorrectly as this amount is substantial for me and was arranged with great difficulty i am facing undue financial strain due to this mistake i have attached copies of the relevant receipts and transaction details for your reference given the nature and urgency of this matter i kindly request that the erroneous payment of be refunded at the earliest convenience i trust that you will handle this matter with the utmost urgency and ensure the prompt processing of my refund your cooperation and understanding in this matter would be greatly appreciated yours faithfully santosh mandal,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर पैन अन्य नाम जारी करता है संतोष मंडल पावती नहीं प्रदान किया गया क्षेत्रीय कार्यालय कार्यालय क्षेत्र दिल्ली प्रिय आयकर अधिकारी मैं तत्काल एक धनवापसी का अनुरोध करने के लिए लिख रहा हूं, जिसका मैंने गलती से जनवरी को विविध रसीद भुगतान श्रेणी आवेदन शुल्के तहत भुगतान कर दिया था, इसके बजाय कि मैंने अपने आधार कार्ड को अपने पैन कार्ड आवेदक नाम संतोष मंडल पैन कार्ड संख्या आधार संख्या के साथ जोड़ दिया, उपरोक्तिथि को भुगतान की तारीख जनवरी मैंने यह मानते हुए भुगतान किया कि यह मेरे आधार को मेरे पैन से जोड़ने के लिए आवश्यक शुल्क था, हालांकि मैंने अनजाने में गलत भुगतान श्रेणी का चयन किया जिसके परिणामस्वरूप भुगतान गलत तरीके से संसाधित किया गया क्योंकि यह राशि मेरे लिए पर्याप्त है और मुझे बड़ी कठिनाई का सामना करना पड़ रहा है",मैं आयकर विभाग के अधिकारी को लिख रहा हूं। मैंने गलती से जनवरी में एक गलत शुल्क का भुगतान कर दिया था। मुझे लगा था कि यह शुल्क मेरे आधार कार्ड को मेरे पैन कार्ड से जोड़ने के लिए है। लेकिन मैंने गलत श्रेणी का चुनाव किया और गलत तरीके से भुगतान किया गया। यह राशि मेरे लिए बहुत महत्वपूर्ण है और मुझे बह
central board of direct taxes income tax direct taxes issues with it returns appeal effect pan no assessment year chargeoffice not provided regional office office others dear sir this is in reference to demand no t and the same has been settled via direct tax vivad se vishwas scheme on but the demand still shows outstanding till date kindly give the effect of this at the earliest,केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दों के साथ रिटर्न अपील प्रभाव कोई निर्धारण वर्ष नहीं प्रभार कार्यालय ने क्षेत्रीय कार्यालय कार्यालय प्रदान नहीं किया अन्य प्रिय महोदय यह मांग नहीं के संदर्भ में है और इसे प्रत्यक्ष कर विवाद से विश्वास योजना के माध्यम से निपटाया गया है लेकिन मांग अभी भी बकाया है कृपया इसका प्रभाव जल्द से जल्दें,"मेरे प्रिय महोदय, आयकर विभाग ने मेरे आयकर रिटर्न पर कुछ आपत्तियां उठाई हैं। मैंने इन आपत्तियों के खिलाफ अपील की है, लेकिन अभी तक कोई निर्णय नहीं आया है। मेरी मांग अभी भी बकाया है। कृपया इस मामले को जल्द से जल्द निपटाने की कृपा करें।"
central board of direct taxes income tax direct taxes issues with it returns rectification pan no assessment year chargeoffice not provided regional office office region karnataka goa i had filed a return of income for the subject year dated vide acknowledgement number declaring total income to the extent of rs i had filed returns initially without correctly understanding the proper way to do it now upon realising the mistakes committed earlier i wish to rectify the same as you are aware time limit to file revised returns us of income tax act has elapsed for ay nor is the income tax portal allowing me to file rectification returns us of income tax act i seek your assistance to carry out necessary rectifications us as there are mistakes apparent on record since there are mistakes apparent from the record for the above mentioned year i implore your good self kindly nullify the demand and pass the appropriate rectification order at the earliest,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दे इसके साथ रिटर्न में सुधार पूरे कोई निर्धारण वर्ष नहीं प्रभार कार्यालय ने क्षेत्रीय कार्यालय क्षेत्र कर्नाटक को उपलब्ध नहीं कराया मैंने उस विषय वर्ष के लिए आय की विवरणी दाखिल की थी जिसमें कुल आय की घोषणा करते हुए पावती संख्या दी गई थी जिसमें मैंने शुरू में विवरणी दाखिल की थी और अब इसे सही तरीके से करने का सही तरीका नहीं समझा था, जब मुझे पहले की गई गलतियों का एहसास हुआ तो मैं उसी तरह सुधार करना चाहता हूं क्योंकि आपको पता है कि संशोधित विवरणी दाखिल करने की समय सीमा हमारे आयकर अधिनियम के लिए बीत चुकी है और न ही आयकर पोर्टल ने मुझे आयकर अधिनियम के सुधार विवरणी दाखिल करने की अनुमति दी है",केंद्रीय प्रत्यक्ष कर बोर्ड आयकर के मामलों के साथ रिटर्न में सुधार करने के लिए है। मैंने उस साल के लिए अपनी आय का बयान दिया था और उसमें कुल आय बताई गई थी। उस समय मुझे सही तरीका समझ नहीं आया था। जब मुझे अपनी गलतियों का पता चला तो मैं उसे सही करना चाहता हूं। लेकिन आयकर कानून के अनुसार संशोधित बयान देने की समय सीम
central board of direct taxes income tax technical issues with website respected sir assessee shohaab kadiani pan i regret to inform you that i have repeatedly and consistently been facing issues logging in to the income tax portal i am an nri who has been unable to visit the country for many years except for a few short trips made for specific family emergencies regrettably i have forgotten my loginusername password password,"केंद्रीय प्रत्यक्ष कर बोर्ड वेबसाइट के साथ आयकर तकनीकी मुद्दे आदरणीय निर्धारिती साहब कादियानी पान मुझे आपको यह सूचित करते हुए खेद हो रहा है कि मुझे बार-बार और लगातार आयकर पोर्टल पर लॉग इन करने में समस्याओं का सामना करना पड़ रहा है मैं एक एनआरआई हूं जो कई वर्षों से देश की यात्रा करने में असमर्थ रहा हूं, सिवाय कुछोटी यात्राओं के जो विशिष्ट पारिवारिक आपात स्थितियों के लिए की गई थी, अफसोस की बात है कि मैं अपना लॉगिन पासवर्ड भूल गया हूं","मुझे यह बताते हुए दुख हो रहा है कि मैं बार-बार और लगातार आयकर वेबसाइट पर लॉग इन करने में समस्याओं का सामना कर रहा हूं। मैं एक विदेशी भारतीय हूं जो कई सालों से देश की यात्रा नहीं कर पाया हूं, सिवाय कुछ छोटी यात्राओं के जो विशेष परिवारिक हालातों के लिए की गई थीं। दुर्भाग्य से मैं अपना लॉगिन पासवर्ड"
central board of direct taxes income tax direct taxes issues with it returns delay condonation pan no assessment year chargeoffice not provided regional office office region delhi dear sir the assessee has filed cbdt application us b dated th february with the chairperson ministry of finance in this context we request your goodself to consider the said application and dispose the same the said cbdt application is enclosed for your ready reference,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दों के साथ वापसी में देरी, कोई निर्धारण वर्ष नहीं, प्रभार कार्यालय ने क्षेत्रीय कार्यालय क्षेत्र दिल्ली प्रदान नहीं किया है, प्रिय महोदय, निर्धारिती ने वित्त मंत्रालय के अध्यक्ष के साथ फरवरी में सीबीडीटी आवेदन दायर किया है, इस संदर्भ में हम आपसे अनुरोध करते हैं कि आप उक्त आवेदन पर विचार करें और उसी का निपटारा करें, उक्त सीबीडीटी आवेदन आपके तैयार संदर्भ के लिए संलग्न है","मेरे प्यारे महोदय, आयकर से संबंधित मुद्दों के लिए केंद्रीय प्रत्यक्ष कर बोर्ड में करदाता ने फरवरी महीने में एक आवेदन दायर किया था। इस आवेदन में करदाता ने रिटर्न दाखिल करने में देरी के लिए माफी मांगी थी, क्योंकि उसने किसी भी साल का रिटर्न दाखिल नहीं किया था। चार्ज ऑफिस ने दिल्ली क्षेत्र के क्ष"
central board of direct taxes income tax direct taxes issues with it returns it return processing pan no assessment year chargeoffice not provided regional office office region up east dear sirmaam we filed the itr for the ay for which we received the defective return notice from the income tax department due to use of incorrect form however due to some family urgency we were not able to comply with the notice therefore we requested cpc itr to provide us with an opportunity to submit our response we raised the grievance but the department closed our grievance that your income tax return is under process it does not appear to be under process on the portal please help us in rectifying the small error so that the honest tax payer should not be punished for such a small error we will be very thankful to you,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दे इसके साथ रिटर्न प्रोसेसिंग पैन कोई आकलन वर्ष प्रभार कार्यालय ने क्षेत्रीय कार्यालय क्षेत्र पूर्व प्रदान नहीं किया प्रिय सिरमौर हमने ए. आई. टी. आर. दाखिल किया जिसके लिए हमें गलत फॉर्म के उपयोग के कारण आयकर विभाग से दोषपूर्ण रिटर्नोटिस मिला था, हालांकि कुछ पारिवारिक तात्कालिकता के कारण हम नोटिस का पालन करने में सक्षम नहीं थे इसलिए हमने सी. पी. सी. आई. टी. आर. से अनुरोध किया कि हमें अपना जवाब जमा करने का अवसर प्रदान करें हमने शिकायत उठाई लेकिन विभाग ने हमारी शिकायत को बंद कर दिया कि आपका आयकर रिटर्न प्रक्रिया में है, यह पोर्टल पर प्रक्रिया में नहीं है, कृपया इस छोटी सी त्रुटि को सुधारने में हमारी मदद करें ताकि ईमानदार करदाता को इतनी छोटी त्रुटि के लिए दंडित नहीं किया जाए हम बहुत आभारी होंगे","मेरे प्यारे सज्जन, हमने आयकर रिटर्न दाखिल किया था, लेकिन गलत फॉर्म के इस्तेमाल के कारण आयकर विभाग से एक गलत नोटिस मिला था। कुछ परिवारिक कारणों से हम उस नोटिस का जवाब नहीं दे पाए। इसलिए हमने अनुरोध किया कि हमें अपना जवाब देने का मौका दिया जाए। हमने शिकायत की लेकिन विभाग ने हमारी शिकायत को बं"
central board of direct taxes income tax othermiscsuggestions regional office office region gujarat i am submitting this grievance application as a director on behalf of the company parikh enterprises private limited having pan this grievance is pertaining to pending appeal for ay we have filed st appeal before nfac vide acknowledgement no dated we have filed detailed written submissions on vide acknowledgement no we have not received any response to the appeal amp written submission on the contrary without even acknowledging the submissions already made we have received not less than five notices us to file written submissions these notices are sent mechanically without considering that submission has already been made and now it is up to the honble commissioner appeals to conduct a hearing against each notice we have given a response on the portal and have informed that the submissions have already been made yet again we have received this th notice bearing din itbaaplfapl dated and earlier three notices from addljcit a mumbai we are herewith attaching in a pdf file the entire chronology from the date of filing of appeal till date we request you to redress our grievance,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर अन्य तरह के सुझाव क्षेत्रीय कार्यालय कार्यालय क्षेत्र गुजरात मैं कंपनी पारिख एंटरप्राइजेज प्राइवेट लिमिटेड की ओर से एक निदेशक के रूप में यह शिकायत आवेदन प्रस्तुत कर रहा हूं, जिसमें यह शिकायत लंबित अपील से संबंधित है, हमने एन. एफ. ए. सी. के समक्ष पहली अपील दायर की है, स्वीकृति संख्या के माध्यम से हमने स्वीकृति पर विस्तृत लिखित प्रस्तुतियाँ दायर की हैं, हमें अपील का कोई जवाब नहीं मिला है और इसके विपरीत लिखित प्रस्तुतियाँ, पहले से ही की गई प्रस्तुतियों को स्वीकार किए बिना, हमें लिखित प्रस्तुतियाँ दायर करने के लिए कम से कम पाँच नोटिस प्राप्त हुए हैं, ये नोटिस इस बात पर विचार किए बिना यांत्रिक रूप से भेजे गए हैं कि प्रस्तुतियाँ पहले ही की जा चुकी हैं और अब यह माननीय आयुक्त की अपीलों पर निर्भर है कि हम प्रत्येक नोटिस के खिलाफ सुनवाई करें, जिसका हमने जवाब दिया है","मैं केंद्रीय प्रत्यक्ष कर बोर्ड के सामने एक शिकायत लेकर आया हूं। हम लोगों ने आयकर अपील दायर की है लेकिन अभी तक कोई जवाब नहीं मिला है। हालांकि, हमें कई बार अपनी बात लिखकर भेजने के लिए कहा गया है, जबकि हम पहले ही अपनी बात लिख चुके हैं। ये नोटिस बिना सोचे-समझे भेजे गए हैं। अब यह माननीय आयु"
central board of direct taxes income tax pan issues other name vijendra singh acknowledgement no not provided regional office office region rajasthan i am writing to formally address an issue regarding the jurisdiction change of my pan card that has not been handled accurately i had previously submitted a request to change the jurisdiction of my pan card from jaipur rajasthan to bhilwara rajasthan i initially contacted the ito jaipur via email email on th january regarding this matter on nd february i further submitted all the necessary documents for processing this request via postal mail in addition to the above i raised a grievance through the cpgrams platform to the central board of direct taxes income tax on th may the action taken was recorded on th june where it was mentioned in the remarks that quotthe pan of the assessee has been transferred to the desired ao ie ito ward bhilwaraquot and the matter was marked as disposed of i am attaching the relevant documents for your reference upon reviewing the action taken i found that my pan jurisdiction was mistakenly transferred to ito tds bhilwara instead of the ito ward bhilwara to rectify this issue i had previously submitted a request to change the pan jurisdiction from ito tds bhilwara to ito wd bhilwara i contacted ito bhilwara via email email on th august and followed up on nd october via postal mail to further address the matter i have already submitted a request letter to the department on nd january with the subject quotrequest for change of pan jurisdiction from ito tds bhilwara to ito wd bhilwara quot i understand that the jurisdiction for tds related matters and regular income tax assessments are distinct therefore i kindly request the necessary action to correct this transfer and ensure that my pan is transferred to the appropriate ito ward wd bhilwara for regular income tax matters i would greatly appreciate your prompt attention to this matter,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर पैने अन्य नाम जारी किया विजेंद्र सिंह स्वीकृति नहीं क्षेत्रीय कार्यालय कार्यालय क्षेत्राजस्थान मैं अपने पैन कार्ड के अधिकार क्षेत्र में परिवर्तन के संबंध में औपचारिक रूप से एक मुद्दे को संबोधित करने के लिए लिख रहा हूं जिसे सटीक रूप से नियंत्रित नहीं किया गया है मैंने पहले अपने पैन कार्ड के अधिकार क्षेत्र को जयपुराजस्थान से भीलवाड़ा राजस्थान में बदलने का अनुरोध प्रस्तुत किया था मैंने शुरू में इस मामले के बारे में जनवरी को ईमेल के माध्यम से जयपुर से संपर्किया था। आईटीओ टीडीएस भीलवाड़ा से आईटीओ डब्ल्यूडी भीलवाड़ा तक मैंने अगस्त को ईमेल के माध्यम से आईटीओ भीलवाड़ा से संपर्किया और इस मामले को आगे बढ़ाने के लिए डाक मेल के माध्यम से अक्टूबर को फॉलो अप किया, मैंने पहले ही विभाग को एक अनुरोध पत्र जमा कर दिया है जिसमें विषय उद्धरण के साथ पूरे अधिकार क्षेत्र को आईटीओ टीडीएस भीलवाड़ा से आईटीओ डब्ल्यूडी भीलवाड़ा में बदलने का अनुरोध किया गया है, मैं समझता हूं कि टीडीएस से संबंधित मामलों और नियमित आयकर आकलन के लिए अधिकार क्षेत्र अलग है इसलिए मैं कृपया इस हस्तांतरण को सही करने के लिए आवश्यक कार्रवाई का अनुरोध करता हूं और यह सुनिश्चित करने का अनुरोध करता हूं कि मेरा पैनियमित आयकर मामलों के लिए उपयुक्त आईटीओ वार्ड डब्ल्यूडी भीलवाड़ा में स्थानांतरित किया जाए","मेरा नाम विजेंद्र सिंह है। मैं आपसे एक मुद्दे के बारे में लिख रहा हूँ जिसे ठीक से नहीं संभाला गया है। मैंने पहले अपने पैन कार्ड का क्षेत्र जयपुर से भीलवाड़ा में बदलने की मांग की थी। मैंने जनवरी में जयपुर से, अगस्त में भीलवाड़ा से और अक्टूबर में डाक से संपर्क किया था। मैंने विभाग को एक पत्र भी भेज"
central board of direct taxes income tax othermiscsuggestions regional office office region gujarat i had made application for cancellation of pan and delink of that pan with aadhar card and also submitted reply to ito gandhidham related to my dob issue and also submitted affidavit for dob changes please make necessary action so that process can be completed,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर अन्य गलत सुझाव क्षेत्रीय कार्यालय कार्यालय क्षेत्र गुजरात मैंने आधार कार्ड के साथ उस पैन और डीलिंको रद्द करने के लिए आवेदन किया था और मेरे डीओबी मुद्दे से संबंधित आई. टी. ओ. गांधीधाम को जवाब भी प्रस्तुत किया था और डीओबी परिवर्तनों के लिए हलफनामा भी प्रस्तुत किया था, कृपया आवश्यक कार्रवाई करें ताकि प्रक्रिया पूरी की जा सके",मैंने आयकर विभाग के गुजरात क्षेत्रीय कार्यालय में अपने पैन और आधार कार्ड को अलग करने के लिए आवेदन किया था। मैंने इससे संबंधित गांधीधाम आयकर कार्यालय को भी जवाब दिया था और परिवर्तन के लिए शपथ पत्र भी दिया था। कृपया आवश्यक कार्रवाई करें ताकि यह प्रक्रिया पूरी हो सके।
central board of direct taxes income tax direct taxes issues with it returns rectification pan no assessment year chargeoffice not provided regional office office others this is with reference to the challan shown in the following table wrong assessment year was selected by me inadvertently while making the payment of self assessment tax particulars challan details name of the bank idbi bank bsr code challan no amount ay as per the challan incorrect ay which is required correct while making the online payment of self assessment tax through idbi netbanking assessment year was wrongly selected by me as mentioned above i have computed my taxable income for the abovementioned year and thereby paid the balance tax liability by way of self assessment tax however while paying the taxes i inadvertently selected the wrong assessment year instead of assessment year hence i request you to kindly make the necessary correction in my income tax records i am also enclosing the copy of itr v and computation for the said year and challan of the taxes paid for your perusal i further request that the credit of above challan shall be given in ay further i have submitted challan correction request at income tax office thane circle for correction as on but still remains unresolved also i have raised grievance on online portal dated and same also remained unresolved sir demand of rs has been raised with interest against above mismatch challan you are requested to resolve the matter on urgent basis hereby attaching the letter to income tax office thane,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर प्रत्यक्ष कर के मुद्दे अपने साथ रिटर्न सुधार के साथ कोई निर्धारण वर्ष नहीं प्रभार कार्यालय ने क्षेत्रीय कार्यालय कार्यालय अन्य को प्रदान नहीं किया यह निम्नलिखितालिका में दिखाए गए चालान के संदर्भ में है गलत मूल्यांकन वर्ष का चयन मेरे द्वारा स्व-मूल्यांकन कर विवरण का भुगतान करते समय अनजाने में किया गया था चालान विवरण बैंका नाम आई. डी. बी. आई. बैंक बी. एस. आर. कोड चालान चालान के अनुसार कोई राशि गलत नहीं है जो आई. डी. बी. आई. नेटबैंकिंग मूल्यांकन वर्ष के माध्यम से स्व-मूल्यांकन कर का ऑनलाइन भुगतान करते समय सही होना आवश्यक है जो मेरे द्वारा गलत तरीके से चुना गया था जैसा कि ऊपर उल्लेख किया गया है मैंने उपरोक्त वर्ष के लिए अपनी कर योग्य आय की गणना की है और इस तरह मैंने स्व-मूल्यांकन कर के माध्यम से शेष कर देयता का भुगतान किया है, हालांकि करों का भुगतान करते समय मैंने अनजाने में कर का चयन किया था। ऑनलाइन पोर्टल दिनांकित और वही भी अनसुलझा रहा, सर उपरोक्त बेमेल चालान के खिलाफ ब्याज के साथ रु. की मांग उठाई गई है, आपसे अनुरोध है कि आप इस मामले को तत्काल आधार पर हल करें, इसके लिए आयकर कार्यालय ठाणे को पत्र संलग्न करें",मेरा स्व-मूल्यांकन कर विवरण जमा करते समय मैंने गलती से गलत आकलन वर्ष का चयन किया था। इसके कारण मेरे द्वारा भुगतान किया गया कर राशि गलत वर्ष के लिए जमा हो गई। मैंने आईडीबीआई बैंक के नेटबैंकिंग के जरिए ऑनलाइन भुगतान किया था। उस समय मुझे सही आकलन वर्ष का चयन करना जरूरी था। मैंने अपनी कर योग्
central board of direct taxes income tax othermiscsuggestions regional office office region mumbai my pan no is for ay i was short paid refund for which i dont know the reason while complaining i also submitted as which shows tcs as correct figure in my itr yet i was paid short refund then i compalined to mumbai ito as per attached emails with two more reminders but short paid refund amount has not yet arrived pls note that for mistake of it a senior citzen of is suffering so long cant you be considerate for senior cituzens approachng only when cbdt is responsive in shrt reasonable period that it will get more respect what prevents cbdt from being humane await not only my problem resolution soon but cbdt must try to become more responsive rather than burden cituzens with follow ups as especially response times are very long also remembr that cbdt shd hv had better response times especially since years have passed since independence just bcoz you can get away does not mean that cbdt is giving good services as such long times are not considered reasonable times though you dont mean it believe me whole system is oppressive for senior cituzens pls do needful soonest and respond,"केंद्रीय प्रत्यक्ष कर बोर्ड आयकर अन्य गलत सुझाव क्षेत्रीय कार्यालय कार्यालय क्षेत्र मुंबई मेरा पैनंबर मेरे लिए कम भुगतान किया गया रिफंड था जिसके लिए मुझे शिकायत करते समय कारण नहीं पता कि मैंने भी प्रस्तुत किया है जो मेरे आई. टी. आर. में टी. सी. एस. को सही आंकड़ा दिखाता है फिर भी मुझे कम धनवापसी का भुगतान किया गया था फिर मैंने मुंबई आई. टी. ओ. को दो और अनुस्मारकों के साथ संलग्न ईमेल के अनुसार बाध्य किया, लेकिन कम भुगतान की गई रिफंड राशि अभी तक नहीं आई है कृपया ध्यान दें कि इसकी गलती के लिए एक वरिष्ठ सिट्ज़ेन इतना लंबा समय से पीड़ित है कि क्या आप वरिष्ठ सिटुज़ेंस के लिए तभी विचार कर सकते हैं जब सी. बी. डी. टी. कम उचित अवधि में प्रतिक्रियाशील हो कि उसे अधिक सम्मान मिलेगा जो सी. बी. डी. टी. को मानवीय होने से रोकता है और न केवल मेरी समस्या का इंतजार कर रहा है। कृपया जल्द से जल्द आवश्यक कार्रवाई करें और जवाब दें","मेरा पैन नंबर है और मुझे कम रिफंड का भुगतान किया गया था। मैंने अपने आईटीआर में सही आंकड़ा दिखाया था, लेकिन फिर भी मुझे कम धन वापसी मिली थी। मैंने मुंबई के आयकर कार्यालय को दो याद-दिलाने वाले ईमेल भेजे, लेकिन अभी तक कम भुगतान की गई रिफंड राशि नहीं आई है। कृपया ध्यान दें कि एक बुजुर्ग व्य"
